Sentence,Sentiment,sentiment_score,clean_sentence,wordlen
feature voice glenn close regis philbin breckin meyer,0.55556,5.5556,featur voic glenn close regi philbin breckin meyer,8
frame profound ethical philosophical question form dazzle pop entertainment,0.75,7.5,frame profound ethic philosoph question form dazzl pop entertain,9
haynes homage film heaven allow imitation life transcend simply put far heaven,0.65278,6.5278,hayn homag film heaven allow imit life transcend simpli put far heaven,12
improvise many months convey way tiny act kindness make ordinary life survivable,0.625,6.25,improvis mani month convey way tini act kind make ordinari life surviv,12
include one seem make different film altogether,0.36111,3.6111,includ one seem make differ film altogeth,7
artnering murphy robert niro comedy showtime would seem surefire cast catch,0.48611,4.8610999999999995,artner murphi robert niro comedi showtim would seem surefir cast catch,11
suspense credible character without rely technique pretentious dialogue,0.86111,8.6111,suspens credibl charact without reli techniqu pretenti dialogu,8
second prize course two free ticket,0.44444,4.4444,second prize cours two free ticket,6
sinister though nearly sinister biennial disney girl movie,0.45833,4.5833,sinist though nearli sinist biennial disney girl movi,8
somebody suggest still might make nice coffee table book,0.34722,3.4722,somebodi suggest still might make nice coffe tabl book,9
kid bratty sympathy film grow finale little change,0.25,2.5,kid bratti sympathi film grow final littl chang,8
lamentations pretty much something vital movie,0.625,6.25,lament pretti much someth vital movi,6
might call freddy gets molested dog,0.38889,3.8889,might call freddi get molest dog,6
without thick shmear goo least,0.45833,4.5833,without thick shmear goo least,5
address fascinate intelligent manner intermingle race politics local commerce,0.80556,8.0556,address fascin intellig manner intermingl race polit local commerc,9
best work understand snobbery better satiric target,0.27778,2.7778,best work understand snobberi better satir target,7
much phone performance fax even commit get secretary fax,0.11111,1.1111,much phone perform fax even commit get secretari fax,9
fault easy forgive intentions lofty,0.69444,6.9444,fault easi forgiv intent lofti,5
fondness fancy stutter edit pompous reference wittgenstein kirkegaard,0.23611,2.3611,fond fanci stutter edit pompou refer wittgenstein kirkegaard,8
homage film all that heaven allows imitation life transcend simply put,0.76389,7.6389,homag film heaven allow imit life transcend simpli put,9
mature quite bite even though one plain white toast comic book film,0.72222,7.2222,matur quit bite even though one plain white toast comic book film,12
profound ethical philosophical question form dazzle pop entertainment,0.66667,6.6667,profound ethic philosoph question form dazzl pop entertain,8
provide window subculture express every way imaginable,0.52778,5.2778,provid window subcultur express everi way imagin,7
remind terry gilliam rudimentary old monty python cartoon would cut figure draw photograph paste together,0.44444,4.4444,remind terri gilliam rudimentari old monti python cartoon would cut figur draw photograph past togeth,15
revere show pretty much nothing,0.25,2.5,rever show pretti much noth,5
story become hopeless unsatisfying muddle,0.11111,1.1111,stori becom hopeless unsatisfi muddl,5
tackle topic relationships straightforward emotionally honest manner end,0.58333,5.8333,tackl topic relationship straightforward emot honest manner end,8
talent lie evocative accurate observation distinctive milieu,0.63889,6.3889,talent lie evoc accur observ distinct milieu,7
utterly convince deeply appeal noble teacher embrace strict moral code,0.86111,8.6111,utterli convinc deepli appeal nobl teacher embrac strict moral code,10
ballistic ecks sever seem safe children film well mother deer even die,0.44444,4.4444,ballist eck sever seem safe child film well mother deer even die,12
and satisfy lust action minority report deliver whole lot,0.875,8.75,satisfi lust action minor report deliv whole lot,8
about schmidt instead come far closer many movies express way many live someplace consume insistently demand otherness,0.56944,5.6944,schmidt instead come far closer mani movi express way mani live someplac consum insist demand other,16
about boy inject enough freshness proceed provide enjoyable minutes movie theater,0.76389,7.6389,boy inject enough fresh proceed provid enjoy minut movi theater,10
adam sandler cartoon hanukkah numbingly bad little nicky bad worst list bad,0.055556,0.55556,adam sandler cartoon hanukkah numbingli bad littl nicki bad worst list bad,12
adrian lyne come close profundity likely get,0.65278,6.5278,adrian lyne come close profund like get,7
alias betty richly detail deftly execute utterly absorb,0.88889,8.8889,alia betti richli detail deftli execut utterli absorb,8
all about benjamins evoke bottom tier blaxploitation flick,0.27778,2.7778,benjamin evok bottom tier blaxploit flick,6
all nothing become emotional though still positive wrench sit,0.66667,6.6667,noth becom emot though still posit wrench sit,8
all queen men finally one long drag,0.27778,2.7778,queen men final one long drag,6
altar boys require taste swamp animation double deafen score,0.29167,2.9166999999999996,altar boy requir tast swamp anim doubl deafen score,9
amari film fall short build drama lilia journey,0.19444,1.9444,amari film fall short build drama lilia journey,8
american chai enough make put away guitar sell amp apply medical school,0.19444,1.9444,american chai enough make put away guitar sell amp appli medic school,12
american instigator michael moore film ramble examination american gun culture use usual modus operandi crucifixion juxtaposition,0.44444,4.4444,american instig michael moor film rambl examin american gun cultur use usual modu operandi crucifixion juxtaposit,16
amy orgasm key strength willingness explore principal character honesty insight humor,0.77778,7.7778,ami orgasm key strength willing explor princip charact honesti insight humor,11
amy orgasm porno though tedious one,0.097222,0.9722200000000001,ami orgasm porno though tediou one,6
anderson movie essentially pony hamper undeveloped script ultimately pull lame,0.33333,3.3333000000000004,anderson movi essenti poni hamper undevelop script ultim pull lame,10
andersson rigorous personal vision distance distance,0.18056,1.8056,andersson rigor person vision distanc distanc,6
antwone fisher manage dubious feat turn one man triumph everyman romance comedy,0.59722,5.9722,antwon fisher manag dubiou feat turn one man triumph everyman romanc comedi,12
ararat fiercely intelligent uncommonly ambitious,0.72222,7.2222,ararat fierc intellig uncommonli ambiti,5
ash wednesday essentially devoid interest character even halfway intrigue plot,0.36111,3.6111,ash wednesday essenti devoid interest charact even halfway intrigu plot,10
ash wednesday suspenseful ultimately unpredictable sterling ensemble cast,0.88889,8.8889,ash wednesday suspens ultim unpredict sterl ensembl cast,8
aussie david caesar channel career guy ritchie,0.45833,4.5833,aussi david caesar channel career guy ritchi,7
austin powers goldmember unnecessary part kinda wrong place,0.375,3.75,austin power goldmemb unnecessari part kinda wrong place,8
auto focus bear typical junkie opera,0.29167,2.9166999999999996,auto focu bear typic junki opera,6
auto focus become funny crushingly depress,0.77778,7.7778,auto focu becom funni crushingli depress,6
baran gentle film dramatic punch haunt ode humanity,0.59722,5.9722,baran gentl film dramat punch haunt ode human,8
barbershop get greatest play timeless spectacle people really talk,0.66667,6.6667,barbershop get greatest play timeless spectacl peopl realli talk,9
bartleby perform neither one well,0.25,2.5,bartlebi perform neither one well,5
beck seem illusion shoot latest system down video,0.40278,4.0278,beck seem illus shoot latest system video,7
beijing bicycle begin spin wheel,0.5,5.0,beij bicycl begin spin wheel,5
below cast spooky net atlantic ocean spit back grizzle char somewhere northwest bermuda triangle,0.625,6.25,cast spooki net atlant ocean spit back grizzl char somewher northwest bermuda triangl,13
beneath clouds establish sen filmmaker considerable potential,0.83333,8.3333,beneath cloud establish sen filmmak consider potenti,7
big trouble remain loosely tie series vignettes prove zany necessarily mean funny,0.29167,2.9166999999999996,big troubl remain loo tie seri vignett prove zani necessarili mean funni,12
